TARA_A100000164_G_C21627965_1 length=765
TARA_A100000171_G_scaffold47219_1 length=4003
TARA_A100000172_G_scaffold51399_1 length=550
TARA_A100000172_G_C2986755_1 length=698
TARA_A100001011_G_scaffold185046_1 length=1468
TARA_A100001015_G_C14879585_1 length=1160
TARA_A100001035_G_scaffold2448_1 length=5985
TARA_A100001035_G_scaffold167418_1 length=33854
TARA_A100001037_G_scaffold9608_1 length=15107
TARA_A100001037_G_scaffold286029_1 length=3178
TARA_A100001037_G_C14943471_1 length=883
TARA_A100001201_G_scaffold13531_3 length=5208
TARA_A100001515_G_scaffold61938_1 length=1210
TARA_A200000113_G_scaffold210778_1 length=1981
TARA_A200000159_G_scaffold133039_1 length=39461
TARA_B100000003_G_scaffold73360_1 length=1753
TARA_B100000029_G_scaffold493176_1 length=2478
TARA_B100000029_G_scaffold511467_1 length=2156
TARA_B100000287_G_scaffold424404_1 length=3342
TARA_B100000287_G_scaffold424411_1 length=11149
TARA_B100000378_G_scaffold70854_1 length=17711
TARA_B100000424_G_scaffold245063_1 length=1694
TARA_B100000446_G_scaffold26598_3 length=34642
TARA_B100000497_G_C7677801_1 length=2329
TARA_B100000497_G_C7677813_1 length=2329
TARA_B100000497_G_C7677823_1 length=2330
TARA_B100000497_G_C7677825_1 length=2330
TARA_B100000497_G_C7677837_1 length=2331
TARA_B100000900_G_scaffold197_3 length=26513
TARA_B100000902_G_scaffold328401_1 length=2653
TARA_B100001059_G_scaffold65800_2 length=26081
TARA_B100001059_G_scaffold233718_1 length=1590
TARA_B110000091_G_scaffold163384_1 length=6213
TARA_B110000858_G_scaffold37238_1 length=2046
TARA_B110000908_G_scaffold38417_1 length=2877
TARA_E500000081_G_scaffold145203_1 length=2192
TARA_E500000081_G_C6119372_1 length=1983
TARA_E500000318_G_C3464831_1 length=732
TARA_E500000331_G_scaffold201596_1 length=5705
TARA_R100000030_G_scaffold86336_1 length=2254
TARA_S200000501_G_scaffold223836_1 length=1829
TARA_S200002703_G_scaffold145415_1 length=2301
TARA_X000000368_G_scaffold3782_1 length=1696
TARA_X000000368_G_scaffold71584_1 length=5866
TARA_X000000368_G_scaffold84958_3 length=2416
TARA_X000000950_G_scaffold1680_1 length=51958
TARA_X000000950_G_C13733962_1 length=1002
TARA_X000001036_G_scaffold41750_1 length=3380
TARA_X000001036_G_scaffold68413_1 length=4027
TARA_X000001036_G_scaffold204224_1 length=4180
TARA_X000001036_G_C20658286_1 length=2171
TARA_X000001316_G_C918377_1 length=1356
TARA_X000001382_G_scaffold130850_1 length=3324
TARA_Y100000004_G_C8912946_1 length=1427
TARA_Y100000780_G_C13695845_1 length=43569
TARA_Y100000996_G_scaffold185114_2 length=6655
TARA_Y200000002_G_scaffold356192_1 length=7488
TARA_Y200000002_G_C22688735_1 length=17350
